,date,open,high,low,close,volume
441,20190321,44600,46250,44050,45850,21138016
442,20190320,43800,44200,43100,44050,9846242
443,20190319,43750,43900,43550,43900,7609563
444,20190318,43950,44150,43450,43700,8188876
445,20190315,43800,44250,43700,44200,16814163
446,20190314,43700,44300,43550,43850,18039161
447,20190313,44250,44450,43700,43850,8108343
448,20190312,44300,44950,44150,44650,11431977
449,20190311,44400,44450,43650,43650,10717408
450,20190308,44450,44800,43800,43800,7729069
451,20190307,43400,44950,43400,44450,11049749
452,20190306,44000,44300,43700,44000,10202544
453,20190305,44600,45100,44150,44250,10612405
454,20190304,46000,46100,44800,44850,12926539
455,20190228,46400,46500,45100,45100,23569321
456,20190227,47000,47250,46750,46750,8045211
457,20190226,47350,47450,46500,46750,7985547
458,20190225,47400,47550,47050,47350,7484716
459,20190222,46500,47150,46450,47150,6895772
460,20190221,46500,47200,46200,46950,8694009
461,20190220,46750,47100,46500,46900,11506720
462,20190219,45850,46150,45450,45950,6741395
463,20190218,46500,46850,45850,46200,8183728
464,20190215,46750,46850,45650,46050,10554643
465,20190214,46600,47500,46150,47500,17259341
466,20190213,46400,46700,46000,46200,11299738
467,20190212,44650,46250,44650,46050,13184367
468,20190211,44500,45000,44250,45000,11125044
469,20190208,45700,45700,44650,44800,12689196
470,20190207,46800,47100,46200,46200,15872001
471,20190201,46650,46950,46250,46350,13832454
472,20190131,46650,47050,46150,46150,21621145
473,20190130,44800,46400,44800,46400,17505980
474,20190129,45050,45500,44350,45500,16215017
475,20190128,45000,45500,44600,45050,17998914
476,20190125,44300,44750,43750,44750,22789395
477,20190124,43050,43100,42350,43050,14747623
478,20190123,41350,42250,41350,42000,11071079
479,20190122,42750,42850,41850,42150,9964356
480,20190121,42700,42750,41900,42750,11355701
481,20190118,42000,42400,41950,42300,11029256
482,20190117,41700,42100,41450,41950,11736903
483,20190116,41150,41450,40700,41450,8491595
484,20190115,40050,41100,39850,41100,11492756
485,20190114,40450,40700,39850,40050,11984996
486,20190111,40350,40550,39950,40500,11661063
487,20190110,40000,40150,39600,39800,14731699
488,20190109,38650,39600,38300,39600,17452708
489,20190108,38000,39200,37950,38100,12756554
490,20190107,38000,38900,37800,38750,12748997
491,20190104,37450,37600,36850,37450,14108958
492,20190103,38300,38550,37450,37600,12471493
493,20190102,39400,39400,38550,38750,7847664
494,20181228,38250,38900,38200,38700,9900267
495,20181227,38700,38800,38100,38250,10510643
496,20181226,38400,38750,38300,38350,12707675
497,20181224,38500,39050,38300,38800,9729530
498,20181221,38200,38650,38100,38650,14947080
499,20181220,38600,39100,38500,38650,11937617
500,20181219,38900,39350,38850,39100,9942037
501,20181218,38300,39200,38300,38900,11042101
502,20181217,38650,39600,38650,39150,11532968
503,20181214,40200,40200,38700,38950,19671783
504,20181213,40650,40750,40000,40000,26254646
505,20181212,40250,40700,40150,40450,12024279
506,20181211,40600,40700,40200,40250,10638766
507,20181210,40450,40650,40000,40200,14892263
508,20181207,40900,41400,40850,40950,11433083
509,20181206,40600,41100,40450,40500,14251826
510,20181205,40900,41750,40850,41450,12631983
511,20181204,42650,42900,41900,42150,14347746
512,20181203,42750,43400,42400,43250,12110702
513,20181130,43450,44000,41750,41850,19775519
514,20181129,43850,43850,42900,43150,8473511
515,20181128,42800,43200,42750,43150,6943099
516,20181127,42900,43100,42500,43050,8367091
517,20181126,42150,42800,42100,42600,6613009
518,20181123,42450,42600,41900,42400,5192638
519,20181122,42000,42650,42000,42450,5970796
520,20181121,41800,42300,41800,42100,10769589
521,20181120,42450,43000,42100,42800,9420664
522,20181119,44050,44250,43450,43650,7538720
523,20181116,44600,44750,43700,44000,7777124
524,20181115,44050,44350,43500,44250,5864067
525,20181114,44500,44500,43800,44100,6783344
526,20181113,43900,44500,43400,44500,9311126
527,20181112,43850,45250,43700,45200,8552566
528,20181109,44450,44850,43900,44300,7318500
529,20181108,44900,45050,44050,44050,12617397
530,20181107,43600,44500,43400,44000,11553998
531,20181106,43750,43800,42950,43750,7713625
532,20181105,43750,43800,42900,43800,9426777
533,20181102,43050,44250,42800,44150,16517112
534,20181101,42450,42950,42150,42150,13423132
535,20181031,42900,43350,41700,42400,17621480
536,20181030,41400,43000,41000,42350,14205190
537,20181029,40850,41950,40550,41400,14460521
538,20181026,41100,41300,40400,41000,14413864
539,20181025,40600,41550,40550,41000,19338170
540,20181024,43050,43100,42250,42550,13522825
541,20181023,43300,43450,42550,43050,9531231
542,20181022,43450,43950,43200,43550,8357648
543,20181019,43900,44150,43450,43900,7842520
544,20181018,43950,44450,43700,44050,8347725
545,20181017,44150,44500,44000,44150,8306193
546,20181016,43700,44150,43350,43600,6825677
547,20181015,44050,44050,43350,43800,7434522
548,20181012,43200,44650,43200,44000,12640906
