[005930] RL:dqn Net:dnn LR:0.001 DF:0.9 TU:[1,1]
[005930][Epoch 047/100] Epsilon:0.2866 #Expl.:183/618 #Buy:79 #Sell:73 #Hold:466 #Stocks:6 PV:17,691,735 Loss:0.190150 ET:0.3778
[005930][Epoch 048/100] Epsilon:0.2759 #Expl.:172/618 #Buy:73 #Sell:67 #Hold:478 #Stocks:6 PV:18,625,939 Loss:0.200042 ET:0.3726
[005930][Epoch 049/100] Epsilon:0.2654 #Expl.:171/618 #Buy:63 #Sell:56 #Hold:499 #Stocks:7 PV:20,056,979 Loss:0.222009 ET:0.3614
[005930][Epoch 050/100] Epsilon:0.2551 #Expl.:164/618 #Buy:65 #Sell:59 #Hold:494 #Stocks:6 PV:18,874,159 Loss:0.231181 ET:0.3750
[005930][Epoch 051/100] Epsilon:0.2450 #Expl.:163/618 #Buy:62 #Sell:55 #Hold:501 #Stocks:7 PV:18,453,918 Loss:0.268669 ET:0.3782
[005930][Epoch 052/100] Epsilon:0.2351 #Expl.:145/618 #Buy:61 #Sell:54 #Hold:503 #Stocks:7 PV:18,699,101 Loss:0.284359 ET:0.3755
[005930][Epoch 053/100] Epsilon:0.2254 #Expl.:146/618 #Buy:62 #Sell:55 #Hold:501 #Stocks:7 PV:18,597,619 Loss:0.380728 ET:0.3803
[005930][Epoch 054/100] Epsilon:0.2159 #Expl.:128/618 #Buy:45 #Sell:38 #Hold:535 #Stocks:7 PV:18,558,020 Loss:0.336311 ET:0.3839
[005930][Epoch 055/100] Epsilon:0.2066 #Expl.:115/618 #Buy:44 #Sell:37 #Hold:537 #Stocks:7 PV:19,011,580 Loss:0.372321 ET:0.3755
[005930][Epoch 056/100] Epsilon:0.1975 #Expl.:136/618 #Buy:52 #Sell:45 #Hold:521 #Stocks:7 PV:18,825,348 Loss:0.475286 ET:0.3751
[005930][Epoch 057/100] Epsilon:0.1887 #Expl.:131/618 #Buy:52 #Sell:45 #Hold:521 #Stocks:7 PV:18,440,751 Loss:0.529199 ET:0.3708
[005930][Epoch 058/100] Epsilon:0.1800 #Expl.:98/618 #Buy:37 #Sell:30 #Hold:551 #Stocks:7 PV:19,588,562 Loss:0.456868 ET:0.3636
[005930][Epoch 059/100] Epsilon:0.1715 #Expl.:107/618 #Buy:48 #Sell:41 #Hold:529 #Stocks:7 PV:18,281,656 Loss:0.516556 ET:0.3726
[005930][Epoch 060/100] Epsilon:0.1632 #Expl.:106/618 #Buy:39 #Sell:32 #Hold:547 #Stocks:7 PV:20,013,326 Loss:0.548860 ET:0.3717
[005930][Epoch 061/100] Epsilon:0.1552 #Expl.:98/618 #Buy:39 #Sell:32 #Hold:547 #Stocks:7 PV:19,627,227 Loss:0.487666 ET:0.3731
[005930][Epoch 062/100] Epsilon:0.1473 #Expl.:86/618 #Buy:38 #Sell:31 #Hold:549 #Stocks:7 PV:18,975,548 Loss:0.462486 ET:0.3707
[005930][Epoch 063/100] Epsilon:0.1397 #Expl.:79/618 #Buy:30 #Sell:22 #Hold:566 #Stocks:8 PV:20,492,976 Loss:0.408558 ET:0.3826
[005930][Epoch 064/100] Epsilon:0.1322 #Expl.:82/618 #Buy:36 #Sell:29 #Hold:553 #Stocks:7 PV:18,745,539 Loss:0.437046 ET:0.3785
[005930][Epoch 065/100] Epsilon:0.1250 #Expl.:87/618 #Buy:43 #Sell:36 #Hold:539 #Stocks:7 PV:18,357,138 Loss:0.400762 ET:0.3763
[005930][Epoch 066/100] Epsilon:0.1179 #Expl.:83/618 #Buy:35 #Sell:28 #Hold:555 #Stocks:7 PV:18,930,505 Loss:0.425514 ET:0.3668
